State,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Alabama,Male,27751.0,91597.0,132328.0,174827.0,156524.0,62730.0,162243.0,26978.0,31420.0,83289.0,48536.0,22582.0,2013
Alaska,Male,14517.0,33102.0,40028.0,33806.0,25614.0,6708.0,14044.0,2310.0,3128.0,6746.0,4907.0,6210.0,2013
Arizona,Male,39885.0,119211.0,179520.0,204789.0,217171.0,103845.0,228777.0,43519.0,55354.0,114948.0,67367.0,30180.0,2013
Arkansas,Male,31755.0,78602.0,110597.0,109502.0,91573.0,30913.0,70575.0,14136.0,17206.0,40637.0,21284.0,14264.0,2013
California,Male,166332.0,621282.0,1084839.0,1278146.0,1275253.0,509769.0,1353066.0,238753.0,369212.0,768932.0,713592.0,346968.0,2013
Colorado,Male,40972.0,121251.0,179094.0,201949.0,200338.0,86075.0,178648.0,40272.0,53429.0,107536.0,68163.0,31614.0,2013
Connecticut,Male,25668.0,72109.0,126622.0,132096.0,129975.0,52973.0,110527.0,26259.0,34860.0,65184.0,57504.0,29638.0,2013
Delaware,Male,5061.0,16723.0,30912.0,32273.0,32222.0,13599.0,29945.0,4979.0,6226.0,16112.0,13836.0,6872.0,2013
District of Columbia,Male,3339.0,6308.0,10698.0,21071.0,23831.0,11841.0,30834.0,7922.0,8825.0,16726.0,9149.0,4695.0,2013
Florida,Male,86474.0,288920.0,500284.0,614846.0,660592.0,275616.0,710054.0,130485.0,175438.0,369690.0,233891.0,94044.0,2013
Georgia,Male,52848.0,167417.0,252908.0,317736.0,325039.0,126001.0,319171.0,69505.0,78379.0,216466.0,157696.0,62283.0,2013
Hawaii,Male,9246.0,35472.0,43516.0,49188.0,48830.0,20213.0,62128.0,7236.0,11416.0,32840.0,23264.0,8326.0,2013
Idaho,Male,20775.0,54974.0,62071.0,62493.0,53630.0,18329.0,39293.0,8771.0,9019.0,15576.0,13640.0,7808.0,2013
Illinois,Male,86736.0,250703.0,347505.0,383471.0,372994.0,174540.0,423127.0,109221.0,154878.0,333478.0,270926.0,92160.0,2013
Indiana,Male,63151.0,171089.0,204220.0,237014.0,229126.0,106208.0,184050.0,50491.0,57034.0,113151.0,69765.0,32637.0,2013
Iowa,Male,52192.0,130485.0,143042.0,127715.0,103064.0,45631.0,73987.0,16762.0,16030.0,34558.0,19753.0,12936.0,2013
Kansas,Male,46042.0,112448.0,121613.0,129352.0,104611.0,42491.0,77755.0,14704.0,14841.0,30412.0,14384.0,11149.0,2013
Kentucky,Male,39961.0,106433.0,140865.0,156160.0,146832.0,63298.0,121814.0,26643.0,26035.0,62257.0,40175.0,23662.0,2013
Louisiana,Male,30902.0,104541.0,147335.0,159189.0,148392.0,57388.0,137822.0,22791.0,28211.0,80016.0,63202.0,47122.0,2013
Maine,Male,17824.0,33002.0,44118.0,42603.0,41922.0,17244.0,32009.0,8847.0,10065.0,24512.0,16412.0,10131.0,2013
Maryland,Male,23070.0,79394.0,126106.0,173913.0,169858.0,89637.0,215869.0,55054.0,79560.0,186474.0,170135.0,68998.0,2013
Massachusetts,Male,42627.0,125628.0,180633.0,202407.0,207095.0,101655.0,233133.0,57541.0,84104.0,176502.0,157786.0,52774.0,2013
Michigan,Male,72304.0,217533.0,289628.0,330597.0,317843.0,148851.0,272951.0,74983.0,83593.0,171872.0,101810.0,50324.0,2013
Minnesota,Male,57518.0,160830.0,193793.0,208777.0,198691.0,96966.0,178489.0,44740.0,49697.0,96770.0,57550.0,27778.0,2013
Mississippi,Male,24241.0,67417.0,89779.0,86682.0,86326.0,31129.0,82631.0,13790.0,14621.0,45373.0,28524.0,20328.0,2013
Missouri,Male,51327.0,149927.0,196320.0,209352.0,194043.0,96840.0,197154.0,47178.0,50938.0,100740.0,52770.0,30522.0,2013
Montana,Male,18674.0,43192.0,49122.0,41815.0,24492.0,8912.0,19320.0,2441.0,3575.0,8137.0,7076.0,5565.0,2013
Nebraska,Male,31808.0,79754.0,89231.0,86282.0,70663.0,26717.0,48174.0,7947.0,9937.0,17071.0,9521.0,5494.0,2013
Nevada,Male,14804.0,51313.0,80833.0,112282.0,125143.0,54538.0,106362.0,15323.0,19306.0,31117.0,21037.0,18989.0,2013
New Hampshire,Male,12441.0,32446.0,41979.0,42549.0,43543.0,20639.0,42605.0,9740.0,16182.0,33281.0,24441.0,14980.0,2013
New Jersey,Male,42245.0,142468.0,227424.0,255606.0,261481.0,125353.0,281360.0,67640.0,105644.0,230215.0,254831.0,118424.0,2013
New Mexico,Male,17821.0,57697.0,72846.0,77609.0,67126.0,22824.0,55159.0,8112.0,12217.0,23853.0,18181.0,10827.0,2013
New York,Male,121841.0,322228.0,462782.0,510630.0,551022.0,234293.0,635208.0,131416.0,232216.0,495493.0,548101.0,246031.0,2013
North Carolina,Male,67551.0,198252.0,321312.0,364050.0,335511.0,146752.0,288437.0,66084.0,70886.0,156710.0,95131.0,57619.0,2013
North Dakota,Male,18497.0,38083.0,46800.0,36251.0,21906.0,5279.0,12876.0,1859.0,2065.0,5635.0,7906.0,7259.0,2013
Ohio,Male,90507.0,262695.0,354835.0,415757.0,427742.0,197813.0,343107.0,87032.0,96577.0,176017.0,108870.0,52179.0,2013
Oklahoma,Male,37061.0,116369.0,143028.0,151941.0,146671.0,53108.0,114191.0,17474.0,20904.0,44609.0,30674.0,22901.0,2013
Oregon,Male,38050.0,98972.0,128397.0,144419.0,126012.0,51803.0,107755.0,21892.0,27208.0,56267.0,43088.0,18299.0,2013
Pennsylvania,Male,103439.0,280376.0,379172.0,400677.0,412229.0,185612.0,384317.0,95834.0,123321.0,266053.0,202249.0,97729.0,2013
Rhode Island,Male,7072.0,23768.0,35271.0,44351.0,38110.0,17599.0,31659.0,7553.0,9082.0,19090.0,14354.0,7000.0,2013
South Carolina,Male,37773.0,97737.0,144021.0,167078.0,160171.0,68441.0,157001.0,32871.0,30841.0,66427.0,43412.0,26368.0,2013
South Dakota,Male,18822.0,42519.0,42032.0,37823.0,28391.0,7203.0,13717.0,2597.0,3141.0,4975.0,5676.0,3715.0,2013
Tennessee,Male,39594.0,126891.0,194614.0,228560.0,229455.0,98659.0,218142.0,43266.0,47182.0,117877.0,68711.0,31981.0,2013
Texas,Male,174162.0,555986.0,822099.0,961834.0,884741.0,377452.0,991198.0,166329.0,233528.0,547523.0,413452.0,172857.0,2013
Utah,Male,24871.0,85744.0,104342.0,124021.0,118554.0,45375.0,89677.0,14628.0,18992.0,41325.0,24217.0,13230.0,2013
Vermont,Male,7623.0,18909.0,22402.0,26442.0,17351.0,8667.0,16894.0,5073.0,4792.0,11705.0,5893.0,3312.0,2013
Virginia,Male,42839.0,150177.0,240209.0,290700.0,286945.0,138301.0,292387.0,64987.0,88148.0,198864.0,162302.0,74678.0,2013
Washington,Male,50442.0,136589.0,209992.0,254583.0,240803.0,102264.0,225464.0,52844.0,71328.0,142165.0,105276.0,52670.0,2013
West Virginia,Male,14560.0,36570.0,50272.0,55627.0,58832.0,19994.0,45044.0,10339.0,12969.0,33187.0,30170.0,19193.0,2013
Wisconsin,Male,66811.0,181314.0,219426.0,226401.0,200574.0,94509.0,156418.0,41050.0,46359.0,85925.0,52846.0,29029.0,2013
Wyoming,Male,13748.0,31639.0,34832.0,24729.0,13429.0,3575.0,10186.0,1914.0,2813.0,5406.0,5626.0,6337.0,2013
Puerto Rico,Male,11168.0,34953.0,58619.0,75949.0,71975.0,22908.0,88764.0,12865.0,26145.0,46323.0,55553.0,24231.0,2013
Alabama,Female,25395.0,97452.0,144492.0,163422.0,144305.0,59863.0,130688.0,25459.0,24338.0,58527.0,26370.0,12439.0,2013
Alaska,Female,12022.0,23246.0,33241.0,30824.0,21798.0,7852.0,8871.0,1451.0,1929.0,4986.0,3627.0,1438.0,2013
Arizona,Female,36264.0,131387.0,181527.0,191053.0,185960.0,85185.0,160863.0,28792.0,50635.0,89681.0,43080.0,15111.0,2013
Arkansas,Female,22799.0,82002.0,96429.0,105067.0,77964.0,31842.0,69755.0,13047.0,12039.0,27272.0,14831.0,4534.0,2013
California,Female,147211.0,669343.0,1013261.0,1157365.0,1079875.0,424718.0,1012104.0,172834.0,276289.0,544085.0,454624.0,190157.0,2013
Colorado,Female,34473.0,126726.0,162207.0,184556.0,173073.0,71810.0,143590.0,29422.0,37615.0,71990.0,39249.0,15512.0,2013
Connecticut,Female,21284.0,87742.0,127156.0,136577.0,135206.0,48621.0,97000.0,20479.0,26602.0,46480.0,32090.0,18375.0,2013
Delaware,Female,4894.0,18003.0,29692.0,35685.0,35021.0,14139.0,26360.0,5225.0,6560.0,11984.0,7811.0,3562.0,2013
District of Columbia,Female,1776.0,6869.0,11405.0,18661.0,25031.0,10975.0,34668.0,9035.0,9957.0,17513.0,11173.0,3311.0,2013
Florida,Female,79289.0,315474.0,501247.0,614247.0,647823.0,257037.0,604417.0,115785.0,146209.0,289089.0,160897.0,57234.0,2013
Georgia,Female,43681.0,175820.0,268898.0,320717.0,310695.0,111883.0,258672.0,55551.0,70972.0,171918.0,107056.0,41506.0,2013
Hawaii,Female,6485.0,25797.0,37791.0,42190.0,40755.0,13908.0,52045.0,6629.0,9921.0,29162.0,17799.0,8670.0,2013
Idaho,Female,16644.0,51780.0,57988.0,55232.0,39326.0,16493.0,25431.0,5833.0,4919.0,10891.0,5382.0,2229.0,2013
Illinois,Female,77696.0,289656.0,372693.0,379643.0,371513.0,160961.0,361791.0,84549.0,122881.0,247210.0,192726.0,61257.0,2013
Indiana,Female,49379.0,179784.0,223357.0,236353.0,209211.0,93995.0,157915.0,39015.0,41622.0,72378.0,39303.0,15715.0,2013
Iowa,Female,52195.0,132495.0,131857.0,122547.0,95397.0,43056.0,59185.0,13776.0,13386.0,24184.0,12665.0,6209.0,2013
Kansas,Female,37769.0,112193.0,115444.0,112464.0,83472.0,34339.0,58730.0,12267.0,10702.0,20325.0,10521.0,5579.0,2013
Kentucky,Female,29160.0,115803.0,143642.0,159040.0,135870.0,56552.0,95287.0,22566.0,18583.0,44683.0,21774.0,9820.0,2013
Louisiana,Female,32560.0,103691.0,158115.0,165239.0,140609.0,48604.0,122141.0,20205.0,22420.0,52960.0,30240.0,13369.0,2013
Maine,Female,16527.0,42265.0,50978.0,46049.0,42603.0,20213.0,31704.0,5605.0,8457.0,17567.0,8630.0,3940.0,2013
Maryland,Female,23194.0,95093.0,142742.0,180835.0,186516.0,83687.0,204371.0,46868.0,71363.0,158048.0,137425.0,53436.0,2013
Massachusetts,Female,38475.0,150194.0,215420.0,219667.0,214250.0,100016.0,213945.0,44872.0,67595.0,144004.0,111100.0,37399.0,2013
Michigan,Female,68888.0,244397.0,313925.0,336174.0,305892.0,143771.0,229539.0,61417.0,65231.0,121311.0,58886.0,28729.0,2013
