City,State,Year,Zipcode,AvrgCommute,AvrgIncome
Abilene,Texas,2013,2000,18.677578475336322,31837.11150677609
Abilene,Texas,2014,2000,19.269898104942385,32825.92198430369
Abilene,Texas,2015,2000,17.774663875979993,34969.8744970808
Abilene,Texas,2016,2000,21.09162358999981,33090.74789541912
Abilene,Texas,2017,2000,20.318681115124573,37638.01614689057
Akron,Ohio,2013,2000,26.596720169994118,31964.39299215906
Akron,Ohio,2014,2000,26.222660776777005,31517.27577274324
Akron,Ohio,2015,2000,27.32252553896614,34961.82085323241
Akron,Ohio,2016,2000,26.15145125571314,34155.503967901015
Akron,Ohio,2017,2000,25.86810403832991,31342.588613982796
Alafaya CDP,Florida,2013,820,36.3307720358408,47634.21024135083
Alafaya CDP,Florida,2014,820,34.27044426845158,47036.54887306727
Alafaya CDP,Florida,2015,820,33.973,45528.42054325741
Alafaya CDP,Florida,2016,820,33.71203074031072,54011.00663811563
Alafaya CDP,Florida,2017,820,37.57241333303685,51661.02119934189
Alameda,California,2013,1124,38.68040556066177,71046.68410006513
Alameda,California,2014,1124,39.96796676048787,71848.37915683568
Alameda,California,2015,1124,41.636417620384364,75408.03896604938
Alameda,California,2016,1124,42.61921212608125,76710.91167989296
Alameda,California,2017,1124,43.12607298962557,79836.77182030473
Albany,Georgia,2013,2104,23.95117397004489,27916.13115845539
Albany,Georgia,2014,2104,22.885883246094217,30852.774959819995
Albany,Georgia,2015,2104,22.461300186648664,33152.57999365382
Albany,Georgia,2016,2104,20.949572280928763,33323.63497571131
Albany,Georgia,2017,2104,23.265081830127823,35828.924946614745
Albany,New York,2013,2000,22.291573897674844,36674.668484431124
Albany,New York,2014,2000,22.35757965883489,41571.42177018746
Albany,New York,2015,2000,24.94924339953148,37055.15663124082
Albany,New York,2016,2000,22.493045675578113,38705.64227282968
Albany,New York,2017,2000,22.139334208431066,43151.66505389958
Albuquerque,New Mexico,2013,4000,25.1200651460597,40822.045346688545
Albuquerque,New Mexico,2014,4000,25.280439061500005,43741.04419273112
Albuquerque,New Mexico,2015,4000,25.57372116756862,43663.62446247408
Albuquerque,New Mexico,2016,4000,26.22123668046861,45451.90650261045
Albuquerque,New Mexico,2017,4000,26.52860766006021,46369.81317771477
Alexandria,Virginia,2013,2000,38.04605891176872,77645.42820021881
Alexandria,Virginia,2014,2000,38.89622725353834,79982.04521753619
Alexandria,Virginia,2015,2000,37.791661716260734,77084.81724872476
