City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Birmingham city, Alabama,07000,Male,619.0,5594.0,6434.0,10770.0,8463.0,2821.0,6278.0,352.0,354.0,1699.0,783.0,672.0,2013
Dothan city, Alabama,21184,Male,218.0,1546.0,2805.0,3857.0,1960.0,304.0,2241.0,202.0,303.0,735.0,559.0,157.0,2013
Hoover city, Alabama,35896,Male,0.0,2195.0,1883.0,3611.0,3279.0,2422.0,3790.0,943.0,470.0,820.0,669.0,65.0,2013
Huntsville city, Alabama,37000,Male,1123.0,4870.0,6805.0,10147.0,8854.0,3488.0,4738.0,619.0,712.0,788.0,393.0,536.0,2013
Mobile city, Alabama,50000,Male,259.0,4038.0,6686.0,7708.0,6690.0,2111.0,4188.0,231.0,899.0,1948.0,863.0,748.0,2013
Montgomery city, Alabama,51000,Male,1196.0,4182.0,7019.0,12494.0,9567.0,1964.0,3950.0,381.0,185.0,878.0,501.0,264.0,2013
Tuscaloosa city, Alabama,77256,Male,163.0,2333.0,3199.0,4983.0,2967.0,1321.0,1128.0,82.0,154.0,1313.0,833.0,298.0,2013
Anchorage municipality, Alaska,03000,Male,1722.0,9649.0,18963.0,18858.0,13992.0,3907.0,7225.0,1546.0,1150.0,1840.0,976.0,2636.0,2013
Avondale city, Arizona,04720,Male,193.0,1180.0,1426.0,1933.0,2899.0,1287.0,3209.0,855.0,466.0,1924.0,2100.0,272.0,2013
Casas Adobes CDP, Arizona,10670,Male,170.0,360.0,1904.0,2253.0,2921.0,1765.0,3409.0,1058.0,552.0,623.0,82.0,153.0,2013
Chandler city, Arizona,12000,Male,1389.0,4756.0,7462.0,10497.0,12348.0,6195.0,7798.0,2502.0,2830.0,3903.0,2185.0,539.0,2013
Flagstaff city, Arizona,23620,Male,1529.0,3658.0,5298.0,2573.0,826.0,504.0,916.0,330.0,343.0,954.0,294.0,698.0,2013
Gilbert town, Arizona,27400,Male,752.0,3678.0,5098.0,8752.0,8943.0,5294.0,9872.0,2521.0,1926.0,6597.0,2788.0,803.0,2013
